UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
1,M00000,H,301.71,311.01,1525,44.29,13,0,No Failure
2,M00001,L,300.34,310.02,1700,42.2,180,0,No Failure
3,M00002,H,302.05,311.96,1155,30.45,246,0,No Failure
4,M00003,L,299.66,309.26,1303,30.06,41,0,No Failure
5,M00004,M,304.26,314.75,1690,28.76,165,0,No Failure
6,M00005,L,299.92,309.19,2060,49.79,239,1,General Failure
7,M00006,M,297.43,307.69,1997,35.53,54,0,No Failure
8,M00007,L,300.4,310.19,1271,40.59,231,1,General Failure
9,M00008,H,300.98,310.36,1475,42.44,173,0,No Failure
10,M00009,L,302.64,311.46,1458,32.43,98,0,No Failure
11,M00010,H,298.99,306.87,2161,39.81,223,1,General Failure
12,M00011,L,298.85,308.11,1339,35.89,194,0,No Failure
13,M00012,L,299.41,310.14,1577,31.35,141,0,No Failure
14,M00013,M,299.16,308.82,1821,36.48,55,0,No Failure
15,M00014,H,295.58,307.41,1694,30.29,87,0,No Failure
16,M00015,L,301.46,310.35,1207,38.54,73,0,No Failure
17,M00016,H,302.57,312.15,2021,37.8,92,0,No Failure
18,M00017,H,298.39,306.54,994,40.44,96,0,No Failure
19,M00018,L,297.93,309.28,1581,53.54,114,0,No Failure
20,M00019,M,299.68,308.1,1413,38.82,177,0,No Failure
21,M00020,M,298.28,308.8,1159,51.4,124,0,No Failure
22,M00021,H,301.62,311.95,1419,50.28,151,0,No Failure
23,M00022,M,298.69,311.75,1412,35.22,245,0,No Failure
24,M00023,L,301.25,312.82,1219,32.87,170,0,No Failure
25,M00024,L,297.41,308.34,1374,34.64,183,0,No Failure
26,M00025,L,297.06,307.23,1454,46.35,212,1,General Failure
27,M00026,L,296.77,308.99,1549,41.66,103,0,No Failure
28,M00027,H,297.05,306.63,960,44.1,243,1,General Failure
29,M00028,L,300.88,309.43,1369,45.59,150,0,No Failure
30,M00029,L,301.74,312.8,1519,44.63,52,0,No Failure
31,M00030,L,300.29,310.24,1759,51.48,226,1,General Failure
32,M00031,M,300.44,309.63,1788,24.19,233,0,No Failure
33,M00032,H,295.42,305.85,1062,38.43,115,0,No Failure
34,M00033,M,302.3,312.92,1353,28.69,239,0,No Failure
35,M00034,L,297.44,305.63,1568,51.71,58,0,No Failure
36,M00035,H,302.69,313.86,1694,40.81,159,0,No Failure
37,M00036,L,305.0,317.37,1940,42.1,41,0,No Failure
38,M00037,M,300.13,309.69,1429,30.5,29,0,No Failure
39,M00038,L,301.29,309.54,1193,41.75,126,0,No Failure
40,M00039,L,301.28,311.62,1520,46.56,146,0,No Failure
41,M00040,M,297.28,307.17,1572,38.14,133,0,No Failure
42,M00041,M,297.66,308.62,1346,43.33,2,0,No Failure
43,M00042,L,298.57,309.7,1277,42.93,185,0,No Failure
44,M00043,L,300.31,310.2,1663,30.21,110,0,No Failure
45,M00044,L,301.74,313.58,1182,42.07,235,0,No Failure
46,M00045,L,300.24,308.0,1366,38.66,185,0,No Failure
47,M00046,L,302.28,311.48,1583,33.85,232,0,No Failure
48,M00047,H,298.95,309.21,1548,52.4,52,0,No Failure
49,M00048,H,297.08,307.59,1524,47.22,14,0,No Failure
50,M00049,L,300.06,309.99,1271,40.32,108,0,No Failure
51,M00050,M,299.89,310.47,900,37.8,98,0,No Failure
52,M00051,L,297.07,305.58,1283,50.09,100,0,No Failure
53,M00052,H,302.12,309.43,1666,33.1,141,0,No Failure
54,M00053,L,298.03,309.06,1727,45.88,19,0,No Failure
55,M00054,M,298.51,310.15,1893,52.03,168,0,No Failure
