time_s,power_W,operation_state,anomaly_label
0.0,428.171,idle,0
0.1,432.083,idle,0
0.2,419.942,idle,0
0.3,417.273,idle,0
0.4,411.809,idle,0
0.5,428.658,idle,0
0.6,415.88,idle,0
0.7,408.043,idle,0
0.8,417.85,idle,0
0.9,420.195,idle,0
1.0,426.66,idle,0
1.1,428.03,idle,0
1.2,414.152,idle,0
1.3,413.598,idle,0
1.4,417.375,idle,0
1.5,410.309,idle,0
1.6,419.122,idle,0
1.7,423.69,idle,0
1.8,420.343,idle,0
1.9,407.093,idle,0
2.0,410.463,idle,0
2.1,430.287,idle,0
2.2,411.893,idle,0
2.3,425.908,idle,0
2.4,425.056,idle,0
2.5,417.424,idle,0
2.6,412.024,idle,0
2.7,421.683,idle,0
2.8,412.911,idle,0
2.9,418.594,idle,0
3.0,420.848,idle,0
3.1,414.265,idle,0
3.2,418.185,idle,0
3.3,417.533,idle,0
3.4,410.116,idle,0
3.5,418.475,idle,0
3.6,414.902,idle,0
3.7,405.407,idle,0
3.8,417.298,idle,0
3.9,417.736,idle,0
4.0,415.161,idle,0
4.1,403.507,idle,0
4.2,426.209,idle,0
4.3,425.469,idle,0
4.4,425.204,idle,0
4.5,422.599,idle,0
4.6,409.945,idle,0
4.7,420.983,idle,0
4.8,412.579,idle,0
4.9,437.5,idle,0
5.0,415.835,idle,0
5.1,425.341,idle,0
5.2,407.58,idle,0
5.3,410.563,idle,0
5.4,415.708,idle,0
5.5,425.62,idle,0
5.6,424.381,idle,0
5.7,422.305,idle,0
5.8,405.168,idle,0
5.9,429.051,idle,0
6.0,412.591,idle,0
6.1,432.923,idle,0
6.2,434.929,idle,0
6.3,426.609,idle,0
6.4,427.907,idle,0
6.5,409.91,idle,0
6.6,440.648,idle,0
6.7,421.743,idle,0
6.8,427.998,idle,0
6.9,413.135,idle,0
7.0,419.48,idle,0
7.1,410.505,idle,0
7.2,418.081,idle,0
7.3,420.124,idle,0
7.4,422.047,idle,0
7.5,431.167,idle,0
7.6,423.847,idle,0
7.7,421.95,idle,0
7.8,420.308,idle,0
7.9,436.083,idle,0
8.0,415.367,idle,0
8.1,429.506,idle,0
8.2,404.31,idle,0
8.3,412.978,idle,0
8.4,423.284,idle,0
8.5,418.712,idle,0
8.6,444.059,idle,0
8.7,440.636,idle,0
8.8,407.847,idle,0
8.9,411.433,idle,0
9.0,418.864,idle,0
9.1,433.922,idle,0
9.2,429.094,idle,0
9.3,422.619,idle,0
9.4,408.685,idle,0
9.5,413.246,idle,0
9.6,398.531,idle,0
9.7,407.722,idle,0
9.8,423.43,idle,0
9.9,426.337,idle,0
10.0,404.391,ramp_up,0
10.1,433.34,ramp_up,0
10.2,463.562,ramp_up,0
10.3,458.01,ramp_up,0
10.4,464.377,ramp_up,0
10.5,487.398,ramp_up,0
10.6,498.389,ramp_up,0
10.7,505.027,ramp_up,0
10.8,509.635,ramp_up,0
10.9,522.968,ramp_up,0
11.0,541.145,ramp_up,0
11.1,545.47,ramp_up,0
11.2,580.059,ramp_up,0
11.3,586.778,ramp_up,0
11.4,601.115,ramp_up,0
11.5,624.395,ramp_up,0
11.6,631.013,ramp_up,0
11.7,641.081,ramp_up,0
11.8,640.513,ramp_up,0
11.9,645.744,ramp_up,0
12.0,687.669,ramp_up,0
12.1,663.971,ramp_up,0
12.2,676.62,ramp_up,0
12.3,685.62,ramp_up,0
